medicine_name,dosage_mg,form,use,diet_recommendation,suggestions,category,time_of_day
Paracetamol,125.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol,125.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol,250.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol,250.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol,250.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol,250.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol,500.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol,500.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol,500.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol,500.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol,650.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol,650.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol,650.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol,650.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol,125.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol,125.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol,125.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol,125.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol,250.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol,250.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol,250.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol,250.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol,500.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol,500.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol,500.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol,500.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol,650.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol,650.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol,650.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol,650.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol Med,500.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol Safe,125.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol Care,125.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
LifeParacetamol,500.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
ProParacetamol,500.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol Z-,500.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol Neo,250.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol Dyna,500.0,Drops,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
UltraParacetamol,650.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol Max,650.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
MegaParacetamol,650.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol Swift,500.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
CureParacetamol,650.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
PlusParacetamol,500.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
HealthParacetamol,125.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol Reli,125.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol Apex,250.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol Nova,500.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Amoxicillin,250.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
Amoxicillin,250.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",afternoon
Amoxicillin,250.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",night
Amoxicillin,500.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
Amoxicillin,500.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",afternoon
Amoxicillin,500.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",night
Amoxicillin,250.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
Amoxicillin,250.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",afternoon
Amoxicillin,250.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",night
Amoxicillin,500.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
Amoxicillin,500.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",afternoon
Amoxicillin,500.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",night
MedAmoxicillin,500.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
Amoxicillin Safe,250.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",afternoon
Amoxicillin Care,500.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
LifeAmoxicillin,500.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
ProAmoxicillin,500.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",afternoon
Amoxicillin Z-,250.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",afternoon
NeoAmoxicillin,500.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",night
DynaAmoxicillin,250.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",afternoon
UltraAmoxicillin,500.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",night
MaxAmoxicillin,500.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",night
Amoxicillin Mega,250.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
Amoxicillin Swift,500.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
Amoxicillin Cure,500.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",afternoon
PlusAmoxicillin,250.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
Amoxicillin Health,250.0,Capsule,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
ReliAmoxicillin,250.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
Amoxicillin Apex,500.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
NovaAmoxicillin,250.0,Syrup,Bacterial infections.,Take with probiotics like yogurt or curd.,Complete full course. Do not skip doses.,"medicine_recommendations,foods_to_avoid",morning
Metformin,500.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",morning
Metformin,500.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
Metformin,850.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",morning
Metformin,850.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
Metformin,1000.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",morning
Metformin,1000.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
MedMetformin,1000.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
Metformin Safe,500.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",morning
Metformin Care,1000.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
Metformin Life,500.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",morning
ProMetformin,850.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
Metformin Z-,850.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
Metformin Neo,1000.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",morning
DynaMetformin,850.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
UltraMetformin,850.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",morning
MaxMetformin,1000.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
Metformin Mega,850.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",morning
Metformin Swift,850.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",morning
Metformin Cure,1000.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
Metformin Plus,850.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
Metformin Health,1000.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",morning
ReliMetformin,1000.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",morning
ApexMetformin,850.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
Metformin Nova,500.0,Tablet,Diabetes management.,Strict low-sugar and high-fiber diet.,Take at same time daily with meals.,"foods_to_avoid,daily_plan",night
Amlodipine,2.5,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Amlodipine,5.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Amlodipine,10.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
MedAmlodipine,5.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Amlodipine Safe,10.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
CareAmlodipine,5.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Amlodipine Life,2.5,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
ProAmlodipine,2.5,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Z-Amlodipine,10.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
NeoAmlodipine,5.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Amlodipine Dyna,10.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
UltraAmlodipine,5.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
MaxAmlodipine,2.5,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Amlodipine Mega,5.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Amlodipine Swift,2.5,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
CureAmlodipine,2.5,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
PlusAmlodipine,10.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Amlodipine Health,5.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Amlodipine Reli,5.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Amlodipine Apex,10.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Amlodipine Nova,5.0,Tablet,Blood pressure control.,Low salt (sodium) intake. Avoid grapefruit.,Take at same time daily. Regular monitoring.,"foods_to_avoid,daily_plan",morning
Ibuprofen,200.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",morning
Ibuprofen,200.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",afternoon
Ibuprofen,200.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
Ibuprofen,400.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",morning
Ibuprofen,400.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",afternoon
Ibuprofen,400.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
Ibuprofen,600.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",morning
Ibuprofen,600.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",afternoon
Ibuprofen,600.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
Ibuprofen,200.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",morning
Ibuprofen,200.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",afternoon
Ibuprofen,200.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
Ibuprofen,400.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",morning
Ibuprofen,400.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",afternoon
Ibuprofen,400.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
Ibuprofen,600.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",morning
Ibuprofen,600.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",afternoon
Ibuprofen,600.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
Ibuprofen Med,400.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
SafeIbuprofen,400.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
Ibuprofen Care,600.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
LifeIbuprofen,200.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
Ibuprofen Pro,200.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",morning
Z-Ibuprofen,200.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",afternoon
Ibuprofen Neo,600.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
DynaIbuprofen,200.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
UltraIbuprofen,200.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",afternoon
MaxIbuprofen,200.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",afternoon
Ibuprofen Mega,200.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
Ibuprofen Swift,400.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
CureIbuprofen,400.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
Ibuprofen Plus,400.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",morning
Ibuprofen Health,200.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
Ibuprofen Reli,200.0,Tablet,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",night
ApexIbuprofen,600.0,Capsule,Pain and inflammation.,Stay hydrated. Avoid spicy food.,Take after food. Avoid alcohol.,"general_tips,foods_to_avoid",afternoon
